X--Trace 1::[DC Sweep: VOLTAGE],Y--Trace 1::[Id]
0.002211593299688549,0.000015207335933829606
0.021060529612162506,0.000010291090630963617
0.04148930146243675,0.000016015721778999543
0.06181029751063139,0.00001018444668591384
0.08226535614190068,0.000010901685201408773
0.10244046055557299,0.00003115669380357733
0.12133145571763898,0.0000312851200588743
0.14134489642819204,0.00005488787065605072
0.1612834198129092,0.0001075229354415258
0.1809170165380843,0.00018695044357427694
0.19930330550504607,0.000349216921585388
0.2168523604973166,0.0006199189980477665
0.2388070799843513,0.0011207199725431106
0.2572288561056563,0.001694655571942466
0.2745702455280663,0.002401870645443005
0.29754883513485697,0.003457734874733048
0.3160678723458434,0.0044222291607516504
0.335466202381113,0.0054621325622772054
0.3541495319733184,0.006551466823274893
0.3763421468283581,0.008202902486253622
0.39518451144558325,0.00981709434859338
